AmbTemp_C_Avg,WindSpeedAve_ms,WindDirAve_deg,PwrMtrP_kW_Avg,RTD_C_Avg_Mean,Minute
5.527,0.858,196.8,0.0,2.3713,107
5.477,0.778,245.3,0.0,2.2817,108
5.452,0.818,219.0,0.0,2.2285,109
5.415,0.575,199.6,0.0,2.1584000000000003,110
5.34,1.043,179.2,0.0,2.082,111
5.339,1.042,221.3,0.0,2.1405000000000003,112
5.509,1.458,253.2,0.0,2.1663,113
5.574,1.767,258.1,0.0,2.2272,114
5.54,1.073,245.2,0.0,2.2378,115
5.514,0.702,202.0,0.0,2.1895999999999995,116
5.453,1.068,190.8,0.0,2.195,117
5.417,0.863,194.2,0.0,2.2157,118
5.351,1.217,229.8,0.0,2.2607999999999997,119
5.454,1.098,225.8,0.0,2.2326,120
5.482,1.215,221.4,0.0,2.2303000000000006,121
5.406,0.698,225.2,0.0,2.1742,122
5.435,0.977,241.4,0.0,2.1351999999999998,123
5.482,0.827,221.2,0.0,2.0844,124
5.468,0.587,209.0,0.0,2.0462,125
5.517,1.415,210.3,0.0,2.0533,126
5.55,0.983,197.4,0.0,2.1092,127
5.261,0.783,192.3,0.0,2.0406000000000004,128
5.123,0.538,211.8,0.0,1.9487999999999999,129
5.082,0.848,191.9,0.0,1.8699999999999997,130
5.162,1.095,203.4,0.0,1.7823999999999998,131
5.121,0.818,208.6,0.0,1.7390999999999999,132
4.962,0.785,195.8,0.0,1.6484,133
4.775,0.85,177.9,0.0,1.5472,134
4.514,0.807,168.8,0.0,1.4742000000000002,135
4.65,0.797,207.3,0.0,1.3958000000000002,136
4.737,0.872,193.6,0.0,1.3506,137
4.691,1.193,180.4,0.0,1.3362,138
4.64,0.828,160.1,0.0,1.2742999999999998,139
4.396,0.84,166.0,0.0,1.1928,140
4.116,0.833,172.3,0.0,1.1015000000000001,141
3.94,0.948,156.5,0.0,1.0394999999999999,142
3.7,1.085,167.5,0.0,0.9768000000000001,143
3.642,0.832,175.6,0.0,0.9175000000000001,144
3.673,0.553,218.9,0.0,0.8663000000000001,145
3.813,0.797,217.5,0.0,0.7910999999999999,146
4.025,0.778,210.1,0.0,0.7417,147
3.982,0.778,194.2,0.0,0.6904999999999999,148
3.951,0.885,184.3,0.0,0.6258,149
3.77,0.968,168.0,0.0,0.6098000000000001,150
3.644,1.04,170.1,0.0,0.5886,151
3.86,0.907,192.4,0.0,0.5804,152
3.903,1.307,180.8,0.0,0.6334,153
3.97,0.733,189.4,0.0,0.6437999999999999,154
4.2,1.045,221.3,0.0,0.6471,155
4.416,1.233,240.8,0.0,0.6257999999999999,156
4.376,1.0,197.4,0.0,0.6315,157
4.413,1.01,189.4,0.0,0.6344000000000001,158
4.359,0.615,186.6,0.0,0.6093,159
4.404,0.658,199.3,0.0,0.5808,160
4.287,0.932,175.1,0.0,0.5852,161
4.087,1.022,156.9,0.0,0.5607,162
3.98,0.963,182.4,0.0,0.5906,163
3.899,0.902,174.3,0.0,0.5893,164
3.751,0.63,194.6,0.0,0.5561,165
3.708,0.902,214.8,0.0,0.4901,166
3.924,1.147,243.1,0.0,0.4715999999999999,167
4.224,0.72,225.2,0.0,0.41719999999999996,168
4.077,1.167,185.8,0.0,0.39369999999999994,169
3.68,1.45,157.4,0.0,0.46519999999999995,170
3.566,1.493,154.9,0.0,0.4704,171
3.723,1.058,185.5,0.0,0.4647,172
3.821,1.08,176.9,0.0,0.48729999999999996,173
3.601,0.987,165.0,0.0,0.47190000000000004,174
3.402,0.7,148.1,0.0,0.4223,175
3.506,0.695,192.8,0.0,0.3734,176
