AmbTemp_C_Avg,WindSpeedAve_ms,WindDirAve_deg,PwrMtrP_kW_Avg,RTD_C_Avg_Mean,Minute
9.67,1.917,336.4,132.4,23.704,736
7.795,1.517,344.4,55.39,12.790000000000001,607
7.177,0.682,129.1,0.0,3.8014,1049
7.841,1.967,356.2,67.78,12.613000000000001,615
4.413,1.01,189.4,0.0,0.6344000000000001,158
10.94,1.958,296.6,82.1,18.615000000000002,936
5.289,0.207,23.21,0.0,2.3954999999999997,1242
5.269,0.872,308.9,33.85,8.111699999999999,532
2.645,0.695,117.2,0.227,1.5966,461
9.14,2.953,340.7,96.0,17.4,666
5.305,0.12,40.03,0.0,2.3751,1245
9.61,1.618,339.6,108.3,19.610000000000003,767
4.446,0.272,236.8,32.43,6.7726,522
8.96,2.325,289.4,131.5,18.026999999999997,705
7.164,1.452,1.15,85.5,13.678,591
5.319,0.808,146.7,0.0,1.8348000000000002,1133
5.506,0.635,60.49,0.0,2.0488,1190
3.616,0.587,169.5,0.0,2.2895,438
9.35,2.435,314.7,97.4,17.058,672
5.677,0.83,224.9,0.0,2.8924,96
5.764,0.488,321.9,0.0,1.9979,1166
3.662,0.54,159.6,0.0,2.2150000000000003,439
6.099,0.2,106.9,0.0,5.7945,1360
4.044,1.0606782861292665,0.0,0.0,3.2413,410
5.991,0.258,53.25,0.0,5.5994,1338
5.457,0.437,129.0,0.0,2.0399000000000003,1116
4.416,1.233,240.8,0.0,0.6257999999999999,156
6.715,0.963,353.5,80.6,12.773000000000001,575
7.39,1.0606782861292665,0.0,76.86,13.973000000000003,598
7.211,1.0606782861292665,0.0,67.83,13.711000000000002,590
2.596,0.75,92.8,0.502,1.5524999999999998,464
4.483,0.692,205.5,0.0,3.5763,390
7.125,1.75,17.73,62.47,13.435999999999998,581
10.43,2.352,315.6,90.0,22.666000000000004,820
5.273,0.238,106.6,0.0,2.3014,1239
11.18,1.077,303.9,64.59,19.032,910
7.251,1.263,333.1,77.14,13.831,594
5.498,0.568,147.2,0.0,1.9873,1117
5.621,0.205,49.83,0.0,1.9614999999999998,1168
9.66,3.333,308.2,157.6,22.067,759
4.496,0.675,172.1,0.0,3.3425,308
9.02,1.867,333.1,112.6,16.610000000000003,661
5.683,0.338,27.23,0.0,5.090999999999999,1321
10.72,1.105,329.0,73.76,18.848999999999997,887
5.227,0.552,83.8,0.0,2.0336000000000003,1186
10.96,0.35,286.3,50.31,17.982000000000003,944
6.121,0.117,86.7,0.0,2.8826,1067
5.563,0.435,106.3,0.0,4.9548000000000005,1318
4.124,0.842,192.9,0.0,2.9833,352
6.118,0.332,342.2,0.0,1.9215000000000004,1127
5.482,0.827,221.2,0.0,2.0844,124
4.014,1.13,210.2,0.0,0.43260000000000004,178
4.752,0.708,201.2,0.0,3.6238,287
6.227,0.317,290.3,0.0,5.87,1388
5.518,0.578,62.82,0.0,2.0526000000000004,1191
4.7,0.585,248.0,0.0,3.6350000000000002,294
10.26,0.733,331.5,7.903,10.937000000000001,976
