iter	Passed	Remaining
463	769	888
464	770	886
465	772	884
466	773	882
467	774	880
468	776	878
469	777	876
470	779	875
471	780	873
472	782	871
473	783	869
474	784	867
475	786	865
476	787	863
477	788	861
478	790	859
479	791	857
480	792	854
481	793	853
482	795	851
483	797	849
484	798	847
485	799	845
486	801	844
487	802	842
488	804	840
489	805	838
490	806	836
491	808	834
492	809	832
493	810	830
494	811	828
495	812	826
496	814	824
497	815	822
498	817	820
499	818	818
500	820	817
501	821	815
502	822	813
503	824	811
504	825	809
505	827	807
506	828	805
507	830	804
508	831	802
509	833	800
510	834	798
511	836	796
512	837	795
513	839	793
514	840	791
515	842	790
516	844	788
517	845	786
518	846	784
519	848	783
520	849	781
521	851	779
522	852	777
523	854	776
524	855	774
525	857	772
526	858	770
527	859	768
528	861	766
529	862	765
530	864	763
531	865	761
532	866	759
533	868	757
534	869	755
535	870	753
536	872	751
537	873	750
538	875	748
539	876	746
540	877	744
541	878	742
542	880	740
543	881	739
544	883	737
545	884	735
546	886	734
547	887	732
548	888	730
549	890	728
550	891	726
551	892	724
552	894	722
553	895	720
554	896	719
555	898	717
556	899	715
557	901	713
558	902	711
559	903	710
560	905	708
561	906	706
562	908	704
563	909	703
564	910	701
565	912	699
566	913	697
567	915	696
568	917	694
569	918	692
570	919	691
571	921	689
572	922	687
573	923	685
574	925	683
575	926	682
576	927	680
577	929	678
578	930	676
579	932	675
580	933	673
581	934	671
582	936	669
583	938	668
584	939	666
585	940	664
586	942	662
587	943	661
588	945	659
589	946	657
590	947	655
591	949	654
592	950	652
593	952	650
594	953	649
595	955	647
596	956	645
597	957	643
598	959	642
599	960	640
600	962	638
601	963	637
602	965	635
603	967	634
604	968	632
605	970	630
606	971	629
607	973	627
608	974	625
609	975	623
610	977	622
611	978	620
612	979	618
613	981	616
614	982	615
615	984	613
616	985	611
617	987	610
618	988	608
619	989	606
620	991	604
621	992	603
622	993	601
623	995	599
624	996	598
625	997	596
626	999	594
627	1000	592
628	1002	591
629	1003	589
630	1005	587
631	1006	586
632	1007	584
633	1009	582
634	1010	580
635	1012	579
636	1013	577
637	1014	575
638	1016	574
639	1017	572
640	1019	570
641	1020	569
642	1022	567
643	1023	565
644	1025	564
645	1026	562
646	1028	560
647	1029	559
648	1031	558
649	1034	556
650	1035	555
651	1036	553
652	1038	551
653	1040	550
654	1041	548
655	1043	546
656	1044	545
657	1045	543
658	1047	541
659	1048	540
660	1049	538
661	1051	536
662	1052	535
663	1054	533
664	1056	532
665	1057	530
666	1059	528
667	1061	527
668	1062	525
669	1064	524
670	1065	522
671	1067	521
672	1068	519
673	1070	517
674	1071	516
675	1073	514
676	1075	513
677	1076	511
678	1078	509
679	1079	508
680	1081	506
681	1082	504
682	1084	503
683	1085	501
684	1087	499
685	1088	498
686	1089	496
687	1091	494
688	1092	493
689	1094	491
690	1095	490
691	1097	488
692	1098	486
693	1100	485
694	1101	483
695	1103	481
696	1104	480
697	1105	478
698	1107	476
699	1108	475
700	1110	473
701	1111	471
702	1112	470
703	1114	468
704	1115	466
705	1116	465
706	1118	463
707	1119	461
708	1120	460
709	1122	458
710	1123	456
711	1124	455
712	1126	453
713	1128	452
714	1129	450
715	1131	448
716	1133	447
717	1134	445
718	1135	443
719	1137	442
720	1138	440
721	1140	439
722	1142	437
723	1143	435
724	1144	434
725	1146	432
726	1147	430
727	1148	429
728	1150	427
729	1151	426
730	1153	424
731	1154	422
732	1155	421
733	1157	419
734	1159	417
735	1160	416
736	1162	414
737	1163	413
738	1164	411
739	1166	409
740	1167	408
741	1169	406
742	1170	404
743	1171	403
744	1173	401
745	1174	399
746	1175	398
747	1177	396
748	1178	394
749	1180	393
750	1181	391
751	1182	389
752	1183	388
753	1185	386
754	1187	385
755	1188	383
756	1189	381
757	1191	380
758	1192	378
759	1193	376
760	1195	375
761	1197	373
762	1198	372
763	1199	370
764	1201	369
765	1202	367
766	1204	365
767	1205	364
768	1207	362
769	1208	360
770	1209	359
771	1211	357
772	1212	356
773	1214	354
774	1215	352
775	1216	351
776	1218	349
777	1219	348
778	1221	346
779	1222	344
780	1223	343
781	1225	341
782	1226	339
783	1227	338
784	1229	336
785	1230	335
786	1231	333
787	1233	331
788	1234	330
789	1235	328
790	1237	326
791	1238	325
792	1239	323
793	1241	322
794	1242	320
795	1244	318
796	1245	317
797	1247	315
798	1248	314
799	1249	312
800	1251	310
801	1252	309
802	1254	307
803	1255	306
804	1257	304
805	1258	302
806	1259	301
807	1261	299
808	1262	298
809	1263	296
810	1265	294
811	1266	293
812	1267	291
813	1269	290
814	1270	288
815	1272	286
816	1273	285
817	1274	283
818	1276	282
819	1277	280
820	1278	278
821	1280	277
822	1281	275
823	1282	273
824	1283	272
825	1285	270
826	1286	269
827	1288	267
828	1289	265
829	1290	264
830	1292	262
831	1293	261
832	1294	259
833	1296	257
834	1297	256
835	1299	254
836	1300	253
837	1301	251
838	1303	250
839	1304	248
840	1306	246
841	1307	245
842	1309	243
843	1310	242
844	1311	240
845	1313	239
846	1314	237
847	1315	235
848	1317	234
849	1318	232
850	1319	231
851	1320	229
852	1322	227
853	1323	226
854	1325	224
855	1326	223
856	1328	221
857	1329	220
858	1330	218
859	1332	216
860	1333	215
861	1335	213
862	1337	212
863	1338	210
864	1339	209
865	1341	207
866	1342	205
867	1344	204
868	1345	202
869	1346	201
870	1348	199
871	1349	198
872	1350	196
873	1352	194
874	1353	193
875	1355	191
876	1356	190
877	1358	188
878	1359	187
879	1360	185
880	1361	183
881	1363	182
882	1364	180
883	1366	179
884	1367	177
885	1368	176
886	1370	174
887	1372	173
888	1373	171
889	1375	169
890	1376	168
891	1377	166
892	1379	165
893	1380	163
894	1381	162
895	1383	160
896	1384	159
897	1386	157
898	1387	155
899	1389	154
900	1390	152
901	1391	151
902	1393	149
903	1395	148
904	1396	146
905	1398	145
906	1399	143
907	1401	141
908	1402	140
909	1404	138
910	1405	137
911	1407	135
912	1408	134
913	1410	132
914	1411	131
915	1413	129
916	1414	128
917	1415	126
918	1416	124
919	1418	123
920	1419	121
921	1421	120
922	1422	118
923	1423	117
924	1425	115
925	1426	114
926	1428	112
927	1429	110
928	1430	109
929	1432	107
930	1433	106
931	1435	104
932	1436	103
933	1437	101
934	1439	100
935	1440	98
936	1442	96
937	1443	95
938	1445	93
939	1446	92
940	1448	90
941	1449	89
942	1451	87
943	1452	86
944	1453	84
945	1455	83
946	1456	81
947	1458	79
948	1459	78
949	1460	76
950	1462	75
951	1463	73
952	1465	72
953	1466	70
954	1468	69
955	1469	67
956	1470	66
957	1472	64
958	1474	63
959	1475	61
960	1476	59
961	1477	58
962	1479	56
963	1480	55
964	1481	53
965	1483	52
966	1484	50
967	1485	49
968	1487	47
969	1488	46
970	1490	44
971	1491	42
972	1492	41
973	1494	39
974	1495	38
975	1496	36
976	1498	35
977	1499	33
978	1501	32
979	1502	30
980	1503	29
981	1505	27
982	1506	26
983	1508	24
984	1509	22
985	1510	21
986	1511	19
987	1513	18
988	1514	16
989	1516	15
990	1517	13
991	1519	12
992	1520	10
993	1522	9
994	1523	7
995	1525	6
996	1526	4
997	1528	3
998	1529	1
999	1531	0
