iter	RMSE
0	52.38206182
1	50.66658809
2	48.93774584
3	47.17887278
4	45.51037301
5	43.95853136
6	42.46040348
7	40.99534206
8	39.57727563
9	38.21351459
10	36.98543173
11	35.80484723
12	34.69621369
13	33.6679251
14	32.59928566
15	31.57234155
16	30.59066566
17	29.70654531
18	28.77654179
19	27.93222114
20	27.06796933
21	26.25471799
22	25.45440989
23	24.71661011
24	24.01415758
25	23.32270881
26	22.69529521
27	22.10430894
28	21.546787
29	20.99771705
30	20.48596136
31	19.97717062
32	19.47111479
33	18.98272842
34	18.52897753
35	18.12319356
36	17.71621433
37	17.33137672
38	16.91567064
39	16.54318027
40	16.24317584
41	15.91828466
42	15.64584251
43	15.34510988
44	15.01767043
45	14.71687649
46	14.45793312
47	14.24426389
48	14.01279199
49	13.77303576
50	13.55740297
51	13.36713785
52	13.19603262
53	13.04388421
54	12.87568628
55	12.6988828
56	12.5431324
57	12.38796077
58	12.24721288
59	12.10628923
60	11.96922694
61	11.83661815
62	11.7242787
63	11.59815088
64	11.50420829
65	11.43130665
66	11.32117486
67	11.23280706
68	11.12724548
69	11.04616378
70	10.95054304
71	10.87693512
72	10.77783475
73	10.70751912
74	10.61919625
75	10.55232323
76	10.49905871
77	10.44438628
78	10.36024458
79	10.3055828
80	10.25652045
81	10.20297408
82	10.15932354
83	10.10925167
84	10.05418826
85	10.00929977
86	9.959525551
87	9.904783653
88	9.850365036
89	9.802477833
90	9.768634395
91	9.720351056
92	9.669228511
93	9.628648007
94	9.59185004
95	9.559370539
96	9.512132439
97	9.473640644
98	9.443301205
99	9.413052165
100	9.377247824
101	9.345889354
102	9.306841
103	9.26528134
104	9.229760053
105	9.194423761
106	9.159117913
107	9.125875078
108	9.090181692
109	9.057928775
110	9.0130241
111	8.980764688
112	8.938369659
113	8.91126387
114	8.879827236
115	8.84981665
116	8.823141691
117	8.788107091
118	8.760707359
119	8.744564577
120	8.715552543
121	8.675190406
122	8.649809215
123	8.620101105
124	8.592863669
125	8.574046599
126	8.545373677
127	8.523706065
128	8.497538409
129	8.454453027
130	8.435949836
131	8.408693684
132	8.389119241
133	8.363876539
134	8.346245123
135	8.310125546
136	8.276178764
137	8.25767714
138	8.228753794
139	8.209123564
140	8.182568662
141	8.158863777
142	8.136315754
143	8.117213442
144	8.097231303
145	8.078025841
146	8.058134827
147	8.034824254
148	8.009866726
149	7.986699675
150	7.972104725
151	7.935035036
152	7.910815125
153	7.887545479
154	7.869152683
155	7.852409992
156	7.830264168
157	7.806132806
158	7.787465683
159	7.770808552
160	7.748730237
161	7.7314854
162	7.710849974
163	7.690208703
164	7.681036677
165	7.649436593
166	7.63850826
167	7.617983886
168	7.596596996
169	7.581057538
170	7.561119657
171	7.544496398
172	7.525956042
173	7.510022777
174	7.49582231
175	7.476429984
176	7.447424037
177	7.429323103
178	7.413964257
179	7.398770475
180	7.381016355
181	7.3596376
182	7.340891047
183	7.327384137
184	7.305741353
185	7.292857148
186	7.274898743
187	7.258971532
188	7.241913932
189	7.221616265
190	7.199287441
191	7.177207981
192	7.164445916
193	7.143718268
194	7.127559773
195	7.108761349
196	7.09599557
197	7.074087875
198	7.058084061
199	7.04359692
200	7.02354858
201	7.012343645
202	6.997130847
203	6.98305674
204	6.969792481
205	6.954387446
206	6.943223491
207	6.92724443
208	6.913565928
209	6.902335685
210	6.885928586
211	6.873637288
212	6.846754038
213	6.826986753
214	6.816590755
215	6.802152844
216	6.787074494
217	6.763795228
218	6.751378149
219	6.738133197
220	6.724917272
221	6.709243301
222	6.687086281
223	6.66786986
224	6.654469639
225	6.636178117
226	6.626865181
227	6.61726885
228	6.59966682
229	6.585623896
230	6.563752139
231	6.54494996
232	6.533462383
233	6.514412498
234	6.504470938
